type,name,current_url,suggested_local_path,used_in
client-logo,"Pr̩fecture du Cantal","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381893/PREF_Cantal_RVB_f0vhi2.webp","/images/optimized/clients/prefecture-du-cantal.webp","content/clients.json"
client-logo,"Mati̬re SAS","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381893/Matiere_SAS_cet57c.webp","/images/optimized/clients/matiere-sas.webp","content/clients.json"
client-logo,"SNCF Gares & Connexions","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381892/Logo_SNCF_Gares___Connexions_-_2020.svg_qdytnd.webp","/images/optimized/clients/sncf-gares-connexions.webp","content/clients.json"
client-logo,"Direction G̩n̩rale des Finances Publiques","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381892/Logo_DGFP-fr.svg_dvd3dl.webp","/images/optimized/clients/direction-generale-des-finances-publiques.webp","content/clients.json"
client-logo,"D̩partement de la Corr̬ze","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381891/logo_correze_le_departement_xxsha9.webp","/images/optimized/clients/departement-de-la-correze.webp","content/clients.json"
client-logo,"Clermont Auvergne M̩tropole","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381890/Logo_Clermont_Auvergne_M%C3%A9tropole_ci2ic2.webp","/images/optimized/clients/clermont-auvergne-metropole.webp","content/clients.json"
client-logo,"Com. de Communes Ch̢taigneraie Cantalienne","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381889/Logo_CHATAIGNERAIE_CANTALIENNE_Fond_transparent_rotdba.webp","/images/optimized/clients/com-de-communes-chataigneraie-cantalienne.webp","content/clients.json"
client-logo,"Ville d'Aurillac","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381889/Logo-Aurillac-quadri-web-aurillac-150_hcvosf.webp","/images/optimized/clients/ville-d-aurillac.webp","content/clients.json"
client-logo,"Covalence","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381888/Logo_Covalence_snniwe.webp","/images/optimized/clients/covalence.webp","content/clients.json"
client-logo,"Laumond Menuiserie","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381888/Laumond_menuiserie_dt6oym.jpg","/images/optimized/clients/laumond-menuiserie.webp","content/clients.json"
client-logo,"Gayrel SAS","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381887/gayrel_sas_logo_nakyee.jpg","/images/optimized/clients/gayrel-sas.webp","content/clients.json"
client-logo,"R̩gion Auvergne-Rh̫ne-Alpes","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381886/FR-221-auvrho-quadri_gzxvqi.webp","/images/optimized/clients/region-auvergne-rhone-alpes.webp","content/clients.json"
client-logo,"Colas","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381886/Colas_logo_pyaloe.webp","/images/optimized/clients/colas.webp","content/clients.json"
client-logo,"CNRS","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381885/cnrs-1_gq0cru.svg","/images/optimized/clients/cnrs.webp","content/clients.json"
client-logo,"Cr̩dit Agricole Centre France","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381884/CACF_rgvuwm.svg","/images/optimized/clients/credit-agricole-centre-france.webp","content/clients.json"
client-logo,"D̩partement du Cantal","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381884/cantal_le_d%C3%A9partement_omt1ls.webp","/images/optimized/clients/departement-du-cantal.webp","content/clients.json"
client-logo,"Alterego","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381884/alterego_dzhbk4.webp","/images/optimized/clients/alterego.webp","content/clients.json"
client-logo,"Agglom̩ration du Bassin d'Aurillac","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381884/AurillacAgglo_n7jkg0.webp","/images/optimized/clients/agglomeration-du-bassin-d-aurillac.webp","content/clients.json"
client-logo,"ACDEAU","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760381884/ACDEAU_pffit9.jpg","/images/optimized/clients/acdeau.webp","content/clients.json"
client-logo,"Groupe Pochet","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760382276/groupe_pochet_uft3gn.png","/images/optimized/clients/groupe-pochet.webp","content/clients.json"
client-logo,"Lallemand","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760382277/Lallemand_d0mivd.png","/images/optimized/clients/lallemand.webp","content/clients.json"
site-image,"Image a propos","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760368923/20200121_DGFIP_AURILLAC_04_rreegt.webp","/images/optimized/hero/20200121-dgfip-aurillac-04.webp","app/a-propos/page.tsx; components/About.tsx"
site-image,"Fond clients","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760368968/bgClient_jdnaan.webp","/images/optimized/hero/bgclient.webp","components/Clients.tsx"
seo-image,"Default OG image","https://res.cloudinary.com/dwtuxcnbr/image/upload/v1760368931/nuage_de_points_abtract_visualization_qcmar7.webp","/images/optimized/seo/og-default.webp","lib/site.ts"
